1
D10 H10
A8 E8
M1 M5
L6 L8
A6 C6
D4 F4
A4 A4
L4 L4
G8 M8
D5 D9
H3 H7
I10 I12
L3 L5
C3 C5
E7 E7
G7 G7
C8 D6
H3 I7
M1 D3
D5 I8
H4 H4
I8 G11
F10 E5
D5 E6
F10 L1
I8 C10
G6 G6
I8 H5
D2 D2
D5 M9
C8 M5
C3 F5
F10 G3
D5 E3
C8 G10
D5 I3
G8 G8
D5 B8
M1 E2
G7 L6
F10 L11
H3 B2
F10 E6
I10 L2
F10 L6
D5 D4
F10 M4
E7 G5
F5 F5
D5 D5
F6 F6
H3 M4
M1 C2
G7 H9
F10 D4
E7 D3
M1 I3
H3 M8
L11 L11
H3 B11
M1 I5
H3 C11
F10 G8
I8 B7
F10 D10
H3 D5
M1 L11
H3 C11
E6 E6
D5 E2
I6 I6
H3 D10
E3 E3
L3 F3
F10 F4
C3 F6
G7 G7
H3 F1
M1 M1
H3 I10
H8 H8
D5 M4
F7 F7
H3 E1
F10 C2
I8 A1
F10 H6
I8 H11
C8 M11
G7 E4
C8 G8
H3 E6
M1 F4
E7 I7
G8 G8
D5 A11
F10 H8
I8 I3
E2 E2
D5 H6
I6 I6
I8 I9
H8 H8
E7 F7
M1 M8
I8 D6
F10 B1
