2
D1 D5
L12 F12
N9 H9
I7 M7
N2 L2
N4 N6
N8 N8
C2 C2
A3 A7
C3 C7
E3 E7
G2 G4
I2 I4
N2 N4
M9 M9
L10 L10
H12 I4
C5 N11
H12 C1
C5 N11
N5 B6
C5 N11
N8 A3
C5 N11
C2 A8
C5 N11
L7 B12
C5 N11
D3 G1
C5 N11
A3 I6
C5 N11
I6 M3
C5 N11
A8 A9
C5 N11
A9 D10
C5 N11
D10 I2
C5 N11
B12 F10
C5 N11
M2 M4
G3 H5
F10 M10
I3 I10
I2 I11
C5 N11
D3 N11
C5 N11
M4 E7
C5 N11
L9 F1
C5 N11
I11 F5
C5 N11
M10 E9
C5 N11
M3 D6
C5 N11
D6 L6
C5 N11
H12 H8
C5 N11
E9 H4
C5 N11
H12 L5
C5 N11
L9 M9
C5 N11
L6 A3
C5 N11
F5 F10
C5 N11
A3 C9
C5 N11
C9 M2
C5 N11
H12 I5
C5 N11
M2 C3
C5 N11
H4 M2
C5 N11
L9 L12
C5 N11
D3 I9
C5 N11
F10 H3
C5 N11
L9 G10
C5 N11
L9 M11
C5 N11
D3 D4
C5 N11
H3 I4
C5 N11
I4 A12
C5 N11
H12 C12
C5 N11
A12 I4
C5 N11
E7 D9
C5 N11
M2 F1
C5 N11
I4 C7
C5 N11
F1 L3
C5 N11
H12 E10
C5 N11
L9 A9
C5 N11
C3 D6
C5 N11
D6 B8
C5 N11
C7 G11
C5 N11
L3 L2
C5 N11
G11 F10
C5 N11
D9 H5
C5 N11
H5 G7
C5 N11
G7 L5
C5 N11
L2 H11
C5 N11
F10 L4
C5 N11
H11 I7
C5 N11
I7 B10
C5 N11
H12 L6
C5 N11
L9 F4
C5 N11
L4 I3
C5 N11
L5 M10
C5 N11
I3 F8
C5 N11
M10 M6
C5 N11
