1
C9 G9
L2 L6
L8 L12
C4 E4
A10 A12
A1 C1
N7 N7
H7 H7
A6 A10
M7 G7
E11 I11
I2 M2
F6 F8
N10 L10
M11 M11
N2 N2
H7 H3
G11 F12
L4 I2
A8 I3
L10 L2
M11 H1
E9 H2
N2 G6
E9 M2
A8 M3
N7 C8
M10 F2
L10 A6
G11 D5
L10 A10
I7 F6
B1 H1
I7 G11
H3 E3
I7 F11
L4 E2
F2 L4
L4 F2
G11 A2
L4 F2
G11 L9
E9 G2
G6 H8
C8 E5
G11 G6
L10 G7
F7 A3
E9 F6
I7 N7
E3 F8
L4 E12
L4 H7
E12 E10
L4 F7
A3 M5
L4 I7
E10 H9
L10 H8
A8 M10
A11 I9
I7 F5
L4 C5
H9 F3
E9 A12
A8 N3
F8 I11
F3 C6
L4 G11
I7 G10
E9 H11
M5 C3
L10 I11
C3 F7
L4 L11
H1 G6
E9 F11
A8 M1
E9 L7
A8 G8
E5 C3
G11 N1
D4 M7
F7 L4
C3 E7
G11 B6
L10 G6
A8 A4
L10 C6
G11 B7
E9 D6
A8 E12
M7 B1
I7 G6
E7 H5
I7 N8
L4 L4
L4 F8
L4 L3
G11 B2
L10 L5
G11 F5
H5 C11
I7 N2
C11 G8
F8 I4
E9 F7
G11 D8
E9 F9
A8 D9
B1 B12
I4 B6
I11 B1
A8 F12
B1 B6
A8 D3
L10 B5
I7 E6
E9 B7
A8 M11
H1 D8
A8 L10
L10 A7
A8 C11
L4 A10
I7 F2
E9 A8
I7 A9
L4 A9
A8 E10
L4 A6
G11 A7
D8 G4
I7 I10
B12 B4
I7 I3
E9 E11
I7 A7
B6 D4
I7 F9
G8 E4
I7 G6
I9 I4
I7 L1
B4 F5
I7 H10
L4 M7
I7 I2
L10 H7
I7 C7
I4 I10
I7 I11
E9 L7
I7 M7
E9 G7
I7 M8
L10 H7
I7 C12
L10 I7
