1
H3 H7
B10 F10
C3 G3
A2 A4
A11 C11
A5 A7
H10 H10
C9 C9
L4 F4
A3 E3
G5 M5
F6 F8
A8 C8
E11 E9
F12 F12
E4 E4
A3 N10
I5 B2
D10 F4
I5 G12
B11 L4
C3 B5
N10 G7
C3 L7
E3 C5
H4 M5
H10 N1
B8 G11
H5 L1
H4 D2
E3 D6
I5 A7
D10 D3
G11 H8
E3 E11
H4 F3
H5 E3
C3 I9
L4 D1
I5 C7
H5 D6
H4 M7
E3 I3
H4 I8
H5 N7
H8 I2
G7 L4
E4 A1
L4 M10
C3 H11
H5 G4
F7 F10
D10 L7
F12 E1
E3 N12
C3 A4
N1 G8
I2 G7
D1 F4
I5 D8
D10 A5
F10 D10
F4 I11
G7 G1
H5 L6
D10 D5
C9 D1
C3 D3
D1 M12
A1 C7
D10 H1
I5 C3
M12 A11
C7 G7
E3 G7
C3 D12
G8 E7
I5 N2
E7 H8
H4 H11
E3 H10
E1 A1
A11 G7
D5 N3
G7 A4
A1 L2
A4 F2
E10 N8
D10 L6
I5 F4
D10 D7
C3 D3
H8 D9
N3 D8
F2 N6
L2 D6
N6 E9
I5 G10
E9 D2
C3 C12
H5 L8
C3 H10
E3 D8
I5 L4
M10 I6
H4 D3
D10 I2
D8 A8
E3 E5
I5 F12
I6 G8
H4 I6
E3 M12
H4 C1
D10 E1
A8 A11
E3 N5
C3 M8
D10 A8
N8 G8
G8 N10
G1 B1
A6 A9
H4 L5
E3 B9
D6 E1
H5 H4
E1 B9
H5 G8
B1 D4
E3 I11
H4 C5
H5 I8
B9 A6
E3 E2
A11 B11
D10 I1
D4 L11
H5 M10
C3 L4
D9 N1
I5 F3
E3 B5
I5 M3
N1 E6
B11 D7
E3 F10
H4 G5
D10 F4
I5 F4
D10 G8
I5 A10
E3 M5
G8 D11
E3 A7
C3 F2
E3 C5
C3 B12
E6 I6
D11 F6
A9 G8
A6 H11
D2 I2
F6 H8
N10 F6
L11 G6
D10 A2
I5 I10
I2 M4
H4 L11
I6 D4
I5 M8
D4 L2
H8 E7
G8 B3
H4 H10
D10 B10
I5 L6
L2 M6
G6 I12
D10 N7
I12 C4
D10 N2
I5 L4
E3 G7
I5 M12
M4 A3
C3 G5
F6 I4
C3 L10
D10 I12
C4 B11
M6 B6
B11 E10
H5 E10
H4 N6
E3 F11
D7 G9
E3 D9
I5 G2
E3 A7
G9 H9
B3 A7
H4 I2
D10 A2
H9 C8
D10 M3
E7 N10
A3 I10
E10 L8
B6 E12
H4 H6
I10 G4
C8 C5
D10 E4
N10 F2
D10 C2
C3 A2
D10 N7
C3 A7
D10 D10
C3 B7
I11 B11
L8 E5
E12 M4
I5 D12
M4 L8
F2 M11
D10 H9
H11 B5
H5 M8
I5 F1
G4 L9
M11 L8
L9 A10
B5 F9
H5 C9
C3 D1
A10 M1
C3 F6
A7 I11
C3 G10
H5 M10
H4 C12
H5 A3
L8 B6
M1 B6
B6 I11
I4 M3
I11 L10
B6 C5
C3 N10
L8 C6
E5 G10
C6 F11
I5 C6
M3 H10
F9 I9
D10 L7
H4 C3
D10 I3
I5 D7
C5 N4
I5 F2
E3 A1
I5 I2
D10 D7
I5 D10
D10 E12
H4 A1
H5 E3
G10 I2
N4 C5
H4 L2
E3 A2
C5 D10
B11 M5
H4 N11
E3 D3
C3 C10
H5 H4
I5 B10
E3 B12
H4 H12
F11 B4
I5 L12
C5 M11
D10 H11
E3 N2
C3 M4
H10 I3
C3 H12
H5 B12
H4 C4
B4 D12
H11 B9
D10 L8
C3 C10
H5 D2
C3 C5
H5 F9
I9 E12
M5 D11
H4 M3
D10 A8
I2 G3
D10 F6
C3 L11
D12 N7
H4 H12
M11 N9
E12 I8
H5 I8
L10 F10
D11 F6
H4 L4
H5 D12
I5 B5
D10 D2
H4 A11
I11 L3
I5 D7
H5 C5
I5 C5
F6 D8
I5 G10
L3 I11
C3 L4
I3 H11
I5 L2
N9 L5
I5 F10
N7 N3
C3 E10
D10 C10
H4 C6
D10 H6
I5 G5
E3 L7
I5 G8
E3 N3
I5 G5
D10 E4
H4 E5
N3 L8
C3 B11
L8 G12
I5 E7
E3 H10
I5 C1
E3 C4
C3 B9
L5 F4
I5 M8
H5 L4
I5 H11
H11 M9
F10 I7
G12 M11
I5 A8
E3 L6
B9 A10
I11 H9
G3 L1
D8 E1
C3 M12
H9 A4
C3 L8
E3 I9
L1 H12
E3 M10
H4 H4
D10 G10
H4 B10
E3 G3
C3 L2
E1 L12
C3 M4
F4 C8
H4 L2
M11 G2
H4 G3
C8 H12
C3 C7
H12 F4
I5 N2
H5 L1
C3 M9
E3 F5
I7 E6
E3 M2
H4 F11
D10 M2
I5 N7
M9 I2
H4 G1
F4 A6
C3 L9
E3 C12
I5 E2
D10 A10
H4 M9
L12 C2
H12 D11
A6 C8
I5 G10
H5 A6
H4 G4
D10 E11
C3 F5
G2 M3
D11 H12
H5 B12
I5 E5
M3 D4
E6 D6
D10 H10
C3 F7
H5 N7
I5 E9
C2 L5
H12 L3
A4 G5
L3 L9
L5 C6
H4 D1
H5 N2
L9 C4
C6 C7
D6 N4
D10 F3
C4 B8
D4 L11
C3 A12
H5 D8
B8 G6
C8 L10
C3 N2
D10 I7
I5 M6
H5 M8
G6 D6
I2 N5
N4 N11
H5 G6
D6 C9
D10 I12
C3 L6
C7 L4
A10 A6
E3 F9
I5 B1
H5 C3
N11 F9
E3 C9
A6 A11
L11 B12
H4 G6
G5 A9
C3 G4
H5 A12
I5 E7
B12 F4
I5 L1
H5 E8
C3 M6
L10 L7
I5 H3
H5 F8
I5 G11
F4 A2
C3 G7
N5 N11
C3 B4
L7 B3
I5 G1
B3 E9
F9 G9
E3 I10
C9 L6
D10 H11
I5 G7
E9 I5
H4 D7
E3 C9
I5 N5
A9 M11
H4 A6
E3 E7
H4 G11
H5 N1
A11 B6
L4 I1
H4 H10
N11 I9
C3 G2
I5 E8
B6 H2
H5 N8
H2 A9
A2 N11
C3 L12
I9 M8
L6 I1
M8 B6
C3 D3
M11 L9
C3 C7
D10 H7
H4 H12
H5 I2
H4 M2
E3 H10
A9 N6
E3 A4
G9 L8
E8 G9
L8 B10
E3 G12
H4 A1
G9 G8
I1 E6
H5 N3
B10 L9
D10 L4
H4 D4
H5 E5
L9 A9
I1 F2
E6 H12
G8 F9
C3 G11
D10 N1
C3 L1
F2 C4
H4 N12
H5 L5
A9 E10
H5 E1
E10 F11
E3 F7
H4 D12
D10 F1
I5 N1
E3 L9
H12 L10
C4 H11
H4 C12
H11 C9
I5 L8
H5 N3
F11 I8
N11 E12
H4 F12
C9 I2
C3 H4
H5 F1
I5 N6
B6 B2
C3 C7
E3 D10
L10 E1
E12 B12
H4 M9
L9 B6
C3 D12
I2 L4
E1 C11
F9 N8
I5 D6
B2 N11
C3 N5
N8 G7
N6 N10
B12 F6
C3 G4
G7 L5
C11 D8
L5 H2
N10 F9
E3 N4
D8 B10
H5 N2
I8 C7
D10 G2
C3 A5
F6 E6
H4 A10
E6 F7
C7 N2
F7 M12
I5 E2
H2 H10
H4 L6
D10 I11
I5 M10
L4 D11
I5 I2
D11 L8
C3 A5
E3 H10
C3 F11
M12 G1
H4 M2
E3 C10
I5 F8
L8 E7
B10 D11
H5 D9
H4 G9
B6 I8
I5 C4
G1 E6
H4 N7
D10 A4
C3 H6
H5 L6
H4 N1
E6 F12
I5 A7
H5 D11
N2 L2
E3 H6
F9 H8
E3 L8
L2 L9
F12 E12
H4 H10
D10 H1
H4 B4
E12 C7
I5 L2
D10 A3
I5 D7
D10 L6
H4 G2
C7 L4
H8 B10
H5 E8
I5 L10
D10 G6
I5 A5
H5 C8
L9 N6
H5 N3
I5 B2
H5 H8
C3 N4
D10 D4
D11 B2
D10 E1
B2 D1
E7 D1
I5 E7
N11 A8
C3 G10
E3 A10
I5 B12
E3 E4
H4 D5
E3 M10
C3 C11
D10 I6
I5 E2
I8 A5
N6 I9
E3 I10
C3 E2
H5 N1
B10 M2
A5 D5
H4 D8
E3 L7
C3 N5
D10 E2
I5 C5
A8 I9
C3 C2
D1 E7
M2 N2
E3 A11
N2 N5
L4 C11
D1 E7
D10 L12
E7 H12
C11 F4
I5 M3
H5 L1
H4 M4
I9 L4
H4 A2
F4 A7
H4 F10
D5 I10
C3 H12
L4 B7
C3 M7
H5 M7
I5 L3
E3 F12
H4 E3
E3 G7
C3 G2
E3 H6
C3 D1
H5 F7
N5 I8
B7 N4
H4 N8
E3 D12
I5 G7
H5 A6
C3 B4
E7 M9
H12 H6
E3 F11
H4 F2
E3 H12
I5 I10
H5 A7
H4 B5
E3 I12
C3 E7
H5 H12
H6 D5
D10 A7
C3 E1
E3 H2
H4 E10
D10 A11
D5 C6
H5 I6
H4 F5
A7 L8
I5 D7
E3 L1
I8 L11
M9 C9
C3 M3
E3 D5
I5 L7
C9 H2
H4 N8
L8 L10
H4 N7
N4 M8
L11 M10
H5 L8
I5 H9
E3 H11
H4 H7
D10 I3
M10 E5
D10 D12
H4 M9
H5 I7
C3 F6
L10 D1
C6 F7
D10 B1
I5 B5
H5 M10
H4 N11
D1 C12
H4 M3
C12 F8
I5 D6
E3 I8
C3 F6
M8 L6
H4 C11
D10 D11
E5 H8
L6 D7
H4 D5
H2 E1
C3 B10
D10 G2
C3 I5
E3 A6
H4 G10
F8 I8
C3 B3
D10 G1
C3 F10
E3 A5
C3 B8
I8 N4
H8 C9
H5 G5
H4 B10
E3 G11
C3 A6
H5 I5
H4 C8
D10 H11
C3 G8
E3 G3
F7 M2
E3 D10
I5 D9
E3 F8
H4 C3
D10 E7
H4 E10
E3 I3
C3 H7
E3 B3
I5 A1
E3 N5
I5 D4
D7 H9
I5 G5
N4 L9
I5 G6
L9 M4
M2 H6
M4 D4
I5 A3
D4 I3
C3 C8
H5 L12
H4 B2
I3 G4
H4 E4
D10 H12
H4 I8
D10 H6
C3 I3
D10 B7
C3 B7
E1 D2
H4 D10
H5 C10
H4 C8
D2 F11
H4 H9
G4 M3
I5 L8
E3 N12
C9 F11
D10 M3
F11 N5
H9 G7
C3 I9
E3 N9
H4 N12
D10 B4
C3 A1
F11 F12
I5 E4
E3 E5
I5 L4
M3 L6
C3 F7
H5 D1
H6 F9
H5 E5
F9 C6
G7 B8
I5 A8
D10 B2
C6 I11
D10 I9
N5 A5
B8 M7
I5 A8
F12 H10
C3 H6
D10 I7
I5 I7
L6 A9
H4 L12
E3 M7
I11 I8
H5 B8
H4 C1
A9 L7
I5 I12
D10 L6
I8 G6
M7 I8
H4 N1
H5 I11
H4 M9
H5 E12
C3 M5
E3 G1
H4 I2
H5 M8
H4 G9
E3 M10
H4 B6
E3 G8
I5 N5
H10 C2
G6 H12
C2 B4
H4 E12
H5 D8
I5 M11
D10 M6
C3 H8
E3 D2
H12 I9
L7 A7
I5 L11
E3 H3
H4 B3
H5 B9
A5 G10
E3 G5
I5 A8
B4 H1
H4 E9
H5 D8
C3 G7
E3 L3
H4 L7
D10 G8
I5 M6
H5 A5
H4 N6
E3 G4
C3 I9
E3 C12
I5 G3
H5 H3
C3 L1
H5 C11
H4 G11
I8 I5
H4 C10
I5 D5
H4 M10
H1 E10
I9 M7
E10 C9
H4 E9
H5 C6
H4 L9
E3 A1
C3 A5
C9 E8
M7 B4
H5 I2
C3 N7
A7 G10
I5 B1
G10 I11
I5 N5
E3 A9
H4 B10
D5 L6
