2
N10 H10
A8 E8
A3 A7
H5 L5
G11 I11
L8 N8
N4 N4
B10 B10
H10 N10
G1 G5
I9 E9
D10 D12
D8 F8
H8 L8
B5 B5
I3 I3
B10 B6
L10 A10
L10 H4
I3 M6
C8 L7
I8 G7
A5 C7
M6 L7
M8 F12
G7 I3
I5 M11
G3 G10
B6 N6
B5 H1
F12 F3
I3 I12
N6 H12
L10 H8
C8 A9
L10 H4
F3 M7
G3 L6
L10 I6
E8 B8
N4 G7
D11 M5
M7 F1
H1 L11
G7 B6
L7 H8
A5 I11
M5 L5
L10 I4
L5 A3
A5 D8
G9 H9
L10 E5
A3 A10
A5 G5
L10 I6
M11 F9
B8 L1
H11 B11
H8 L8
A5 B5
L10 L11
A5 C1
L8 G7
L10 D5
G3 L7
C8 I1
L10 I9
A5 D10
G7 N8
H12 L6
N8 C12
B11 G6
C12 H1
B6 N3
L10 D11
C8 A11
H1 A1
F1 H4
L10 G1
A5 I3
A10 B2
G6 D11
L1 C12
H4 L9
A1 B9
D11 G6
G9 F11
L10 H7
L11 C7
F9 L8
G9 N6
G6 E4
G3 F10
L9 F10
B9 G7
N3 D12
G3 D3
L10 N1
L10 I1
C8 F10
G9 A9
A5 E2
C12 G6
F10 I4
C7 L11
L10 I7
G7 A3
C8 M9
G9 B10
A5 M7
A3 N12
E4 C9
L10 B2
C9 C3
G3 E6
L10 I9
N12 M12
I4 D11
G3 G4
L10 C3
I12 M6
C8 E6
G9 N10
A5 N9
L11 B8
A5 C7
B2 A11
C8 E10
L10 N11
D12 I9
L10 D8
C8 N1
M12 L1
C8 G6
G3 G4
C3 H6
L10 I7
D11 I11
L10 M12
L10 B12
M6 B2
L6 C12
L1 N3
C8 G8
A11 E4
C8 N6
G9 A7
C12 B3
E4 F11
L10 D10
B8 M6
B3 G4
M6 B11
C8 H9
B2 M7
H6 D12
G6 G8
D12 F7
N3 C11
A5 H5
M7 M3
I11 E1
B11 N9
C8 H8
N9 I12
I9 N7
M3 B8
A5 B8
G3 E12
F7 E5
G9 F4
L8 F11
L10 N5
A5 N8
C11 A5
F11 C10
A5 B4
C10 E12
G3 I11
G4 A9
I12 D7
C8 A5
G9 M11
E12 I8
B4 H2
C8 I5
G9 D2
E1 B2
H2 A3
I8 E7
G9 E9
A5 F12
A3 M3
C8 A8
G9 B12
L10 E10
D7 C9
C8 F11
M3 I8
E7 L2
F11 M8
E5 G2
I8 A4
C8 H9
L10 C3
A5 E11
L10 C1
B2 F11
G3 A4
N7 C5
G9 M9
C8 E10
G3 M8
G2 G5
G9 M2
C8 B6
G9 N5
G5 C10
G9 D12
C5 L4
G9 E12
L4 D4
A4 M3
L2 H12
B8 D6
H12 I3
M8 F11
D4 H11
F11 B11
H11 F5
G3 M2
F5 G1
G9 D5
I3 I9
D6 I5
C10 D4
I5 C7
L10 L3
G9 L7
I9 G8
M3 E1
C8 D6
G3 M12
C8 G9
G3 A9
A5 M12
L10 H11
C8 B1
G3 G3
C8 M11
C9 E5
A5 N5
L10 M6
F11 C2
G3 E6
D4 C11
E5 M2
L10 C1
E1 A9
G8 B9
C7 I1
C8 E9
G9 A12
B9 D1
G9 F12
C11 C6
M2 A7
G1 N5
L10 I9
C2 F2
B11 L6
C6 D9
I1 M8
A5 F9
A9 L1
D9 G7
L10 B6
F2 G8
M8 C2
L10 A5
A7 H12
A5 A2
H12 B3
G7 L5
C2 L8
L5 I4
G9 G9
N5 G4
G3 L2
G8 L12
L6 F7
C8 N10
G3 H7
L10 H9
G3 B11
D1 F3
G9 B6
A5 M6
F7 A6
C8 E5
B3 E10
G4 N5
E10 B5
I4 C5
B5 H8
C8 N12
L10 C1
C5 B11
G9 I3
A5 H6
L1 C4
C8 A11
G3 C5
B11 F2
H8 L2
F2 H6
G3 E3
L10 G1
A6 N4
H6 L1
G9 E12
N5 L6
G3 H2
L6 I5
L2 C9
L10 B3
C9 C10
C8 B10
C4 L1
C8 N2
